P_SUID,PARTY,CHNG_A,CHNG_B,CHNG_C,DIVRELPOP,DIVRACPOP,POORASSIST,CLIM1A,SCIMPACT,RELIMPACT,RACECMB,INC_SDT1,EDUCREC,EMPLSIT,USGEN,CURREL
10019260,1,2,3,2,2,2,3,3,3,2,1,8,3,3,3,10010
10019320,1,3,1,2,1,1,1,77,3,3,1,1,1,3,3,100000
10019370,2,2,1,2,3,3,2,2,2,2,1,3,1,1,3,100000
10019450,4,1,1,1,1,1,1,1,2,1,1,8,2,1,2,100000
10019490,2,1,1,1,1,1,1,1,3,3,1,5,4,1,3,100000
10019520,1,2,1,2,1,1,3,77,1,2,1,7,3,1,3,10010
10019550,3,1,1,1,1,1,3,1,2,1,1,6,2,1,3,100000
10019620,2,1,1,3,1,1,1,1,2,1,1,8,3,1,3,10010
10019710,3,2,1,1,1,1,1,1,2,1,1,5,2,5,3,100000
10019730,2,2,1,2,3,1,1,1,2,3,2,3,1,3,1,10010
10019810,1,2,1,3,3,3,1,3,3,3,3,2,1,5,2,10010
10019860,3,3,1,2,2,3,1,1,3,3,1,2,2,2,3,10010
10020130,1,2,3,3,3,3,2,3,3,2,1,5,2,1,3,10010
10020180,3,1,1,1,1,1,3,1,2,1,1,5,2,1,3,10010
10020300,2,2,1,2,1,1,1,77,2,2,2,4,2,5,3,10010
10020330,1,2,2,2,2,3,2,2,3,2,1,6,3,5,3,10010
10020360,4,3,1,2,3,1,1,77,2,2,1,1,1,2,3,70000
10020410,3,3,1,1,1,1,3,1,1,3,1,8,4,1,3,10010
10020480,2,1,1,1,1,1,1,1,2,3,1,7,4,5,3,100000
10020580,3,1,1,1,3,1,1,1,2,3,1,4,2,3,3,10010
10020720,4,3,1,1,1,1,2,77,2,3,4,4,3,1,2,100000
10020750,3,2,1,2,1,1,2,77,2,2,1,8,4,5,2,10010
10020760,4,1,1,1,1,1,2,77,2,1,4,8,4,1,1,100000
10020920,4,3,1,2,3,1,1,2,2,2,1,7,2,1,3,10010
10021100,3,2,1,1,3,1,1,2,2,2,1,2,2,2,3,10010
10021210,1,2,2,2,2,2,2,2,1,2,1,1,1,1,2,10010
10021250,1,3,1,3,1,1,3,1,3,3,3,5,3,1,2,10010
10021270,4,1,1,1,1,1,1,1,2,3,1,1,1,2,3,100000
10021300,2,3,1,2,2,1,1,1,2,1,1,2,1,2,3,100000
10021310,2,3,1,1,1,1,1,2,1,2,2,1,1,4,3,10010
10021320,3,3,1,2,1,1,1,1,2,2,1,1,1,2,3,10010
10021350,1,2,1,2,1,1,3,2,2,2,1,5,1,1,3,100000
10021450,2,1,1,3,1,1,1,1,2,3,1,8,4,1,3,100000
10021470,4,1,1,1,1,1,3,1,2,3,1,6,3,1,3,10010
10021610,1,2,2,2,3,1,2,2,3,2,1,4,1,5,3,10010
10021620,1,2,1,2,2,3,2,3,3,2,1,7,2,1,1,10010
10021690,1,2,3,2,3,3,2,3,3,2,1,5,1,1,3,10010
10021700,3,3,2,2,1,1,3,2,2,2,1,5,3,5,1,20000
10021730,3,1,1,3,3,1,2,77,2,2,1,8,2,2,3,10010
10021750,2,3,3,1,2,2,2,1,2,2,1,8,3,1,3,10010
10021820,2,2,1,1,3,1,3,1,2,3,1,6,3,5,3,100000
10021840,1,2,1,2,2,1,2,2,3,2,1,1,1,5,3,10010
10021880,3,2,1,3,1,1,3,3,3,3,1,1,2,5,3,10010
